
======================================================================
  Arbitrage Paper Trading System
  Exchanges: binance, kraken, coinbase
  Symbols: BTC-USD, ETH-USD, SOL-USD
  Redis: connected
  Database: connected
  API Server: http://localhost:8000
  Starting Balance: $10,000.00
  Press Ctrl+C to stop
======================================================================

[10:16:34] Messages: 22600 (binance=21371  kraken=24  coinbase=1205) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:34] Messages: 22800 (binance=21565  kraken=24  coinbase=1211) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:37] Messages: 23000 (binance=21737  kraken=24  coinbase=1239) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:37] Messages: 23200 (binance=21930  kraken=24  coinbase=1246) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:40] Messages: 23400 (binance=22101  kraken=24  coinbase=1275) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:41] Messages: 23600 (binance=22293  kraken=24  coinbase=1283) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:41] Messages: 23800 (binance=22491  kraken=24  coinbase=1285) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:42] Messages: 24000 (binance=22682  kraken=24  coinbase=1294) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:42] Messages: 24200 (binance=22880  kraken=24  coinbase=1296) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:45] Messages: 24400 (binance=23049  kraken=24  coinbase=1327) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:46] Messages: 24600 (binance=23236  kraken=25  coinbase=1339) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:47] Messages: 24800 (binance=23430  kraken=25  coinbase=1345) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:47] Messages: 25000 (binance=23630  kraken=25  coinbase=1345) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:47] Messages: 25200 (binance=23829  kraken=25  coinbase=1346) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:50] Messages: 25400 (binance=24001  kraken=25  coinbase=1374) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:53] Messages: 25600 (binance=24164  kraken=25  coinbase=1411) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:55] Messages: 25800 (binance=24344  kraken=26  coinbase=1430) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:58] Messages: 26000 (binance=24508  kraken=27  coinbase=1465) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:00] Messages: 26200 (binance=24683  kraken=27  coinbase=1490) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:00] Messages: 26400 (binance=24883  kraken=27  coinbase=1490) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:01] Messages: 26600 (binance=25079  kraken=28  coinbase=1493) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:01] Messages: 26800 (binance=25277  kraken=29  coinbase=1494) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:01] Messages: 27000 (binance=25474  kraken=29  coinbase=1497) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:01] Messages: 27200 (binance=25672  kraken=29  coinbase=1499) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:01] Messages: 27400 (binance=25871  kraken=29  coinbase=1500) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:01] Messages: 27600 (binance=26069  kraken=29  coinbase=1502) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:01] Messages: 27800 (binance=26267  kraken=29  coinbase=1504) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:01] Messages: 28000 (binance=26466  kraken=29  coinbase=1505) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:02] Messages: 28200 (binance=26662  kraken=29  coinbase=1509) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:02] Messages: 28400 (binance=26859  kraken=29  coinbase=1512) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:02] Messages: 28600 (binance=27052  kraken=29  coinbase=1519) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:02] Messages: 28800 (binance=27249  kraken=29  coinbase=1522) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:03] Messages: 29000 (binance=27441  kraken=29  coinbase=1530) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:03] Messages: 29200 (binance=27639  kraken=29  coinbase=1532) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:03] Messages: 29400 (binance=27832  kraken=29  coinbase=1539) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:06] Messages: 29600 (binance=28012  kraken=29  coinbase=1559) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:07] Messages: 29800 (binance=28196  kraken=29  coinbase=1575) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:09] Messages: 30000 (binance=28384  kraken=30  coinbase=1586) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:09] Messages: 30200 (binance=28574  kraken=30  coinbase=1596) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:09] Messages: 30400 (binance=28771  kraken=30  coinbase=1599) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:10] Messages: 30600 (binance=28965  kraken=30  coinbase=1605) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:11] Messages: 30800 (binance=29146  kraken=30  coinbase=1624) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
